{'angle': 0.0, 'elasticity': 0.1, 'extra_info': {   'friction': 1.0}, 'length': 6.0, 'tool_id': 0, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 1, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 2, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 3, 'tool_type': 'Ramp'}
{'angle': 0.0, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 4, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 5, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 6, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 7, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 18.0, 'tool_id': 8, 'tool_type': 'Ramp'}
{'angle': 0.2617993877991494, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 22.0, 'tool_id': 9, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 6.0, 'tool_id': 10, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 10.0, 'tool_id': 11, 'tool_type': 'Ramp'}
{'angle': 0.5235987755982988, 'elasticity': 0.1, 'extra_info': {'friction': 1.0}, 'length': 14.0, 'tool_id': 12, 'tool_type': 'Ramp'}
